Title,Director,Cast(Subject of documentary),Genre,Notes
127 Hours,Danny Boyle,"James Franco, Amber Tamblyn, Kate Mara, Clémence Poésy, Lizzy Caplan","Bio-pic, Drama",Fox Searchlight Pictures
,,,,Adapted from Between a Rock and a Hard Placeby Aron Ralston
8: The Mormon Proposition,Reed Cowan,The Church of Jesus Christ of Latter-day Saints' involvement in the 2008 California Proposition 8. Narrated by Dustin Lance Black.,Documentary,Red Flag Releasing
The A-Team,Joe Carnahan,"Liam Neeson, Bradley Cooper, Quinton ""Rampage"" Jackson, Sharlto Copley, Jessica Biel,Patrick Wilson, Brian Bloom",Action-adventure,20th Century Fox
,,,,Based on the television series of the same name
Adventures of Power,Ari Gold,"Ari Gold, Michael McKean, Jane Lynch, Shoshannah Stern, Chiu Chi Ling, Adrian Grenier",Comedy,Variance Films
Alice in Wonderland,Tim Burton,"Johnny Depp, Anne Hathaway, Helena Bonham Carter, Mia Wasikowska, Alan Rickman, Crispin Glover, Stephen Fry, Michael Sheen, Christopher Lee","Family, Fantasy",Walt Disney Pictures
,,,,Based on the novel of thesame name by Lewis Carroll
All Good Things,Andrew Jarecki,"Ryan Gosling, Kirsten Dunst, Frank Langella, Kristen Wiig, Philip Baker Hall",Mystery,Magnolia Pictures
Alpha and Omega,"Anthony Bell, Ben Gluck","Justin Long, Hayden Panettiere, Dennis Hopper, Danny Glover, Christina Ricci","Animated, Comedy, Drama, Family","Lionsgate, Crest Animation Productions"
The American,Anton Corbijn,"George Clooney, Violante Placido, Thekla Reuten, Paolo Bonacelli","Drama, Thriller",Focus Features
,,,,Based on A Very Private Gentleman by Martin Booth
The Back-up Plan,Alan Poul,"Jennifer Lopez, Alex O'Loughlin, Eric Christian Olsen, Anthony Anderson, Linda Lavin",Romantic comedy,CBS Films
Barry Munday,Chris D'Arienzo,"Patrick Wilson, Judy Greer, Chloë Sevigny, Jean Smart, Cybill Shepherd, Shea Whigham, Missi Pyle, Christopher McDonald, Billy Dee Williams, Malcolm McDowell",Comedy,Magnolia Pictures
,,,,Based on Life is a Strange Place by Frank Turner Hollon
BearCity,Doug Langway,"Gerald McCullouch, Joe Conti, Stephen Guarino, Ashlie Atkinson",LGBT-themed comedy-drama
Big Money Rustlas,Paul Andresen,"Insane Clown Posse (Violent J, Shaggy 2 Dope), Twiztid (Jamie Madrox, Monoxide), Jason Mewes, Mark Jury","Comedy, Western",Psychopathic
,,,,Direct-to-DVD; preceded by Big Money Hustlas(2000)
Black Swan,Darren Aronofsky,"Natalie Portman, Vincent Cassel, Mila Kunis, Barbara Hershey, Winona Ryder",Psychological thriller,Fox Searchlight Pictures
Blue Valentine,Derek Cianfrance,"Ryan Gosling, Michelle Williams",Romantic drama,The Weinstein Company
The Book of Eli,Albert and Allen Hughes,"Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson, Jennifer Beals, Frances de la Tour, Michael Gambon","Action, Thriller","Alcon Entertainment,Silver Pictures, Warner Bros. Pictures"
Bouncing Cats,Nabil Elderkin,"Crazy Legs, Abraham ""Abramz"" Tekya, Common, Mos Def, will.i.am, K'naan",Documentary,Red Bull Media House
,,,,About hip-hop/b-boy culture improving the lives of children in Uganda.
The Bounty Hunter,Andy Tennant,"Jennifer Aniston, Gerard Butler",Action comedy,Columbia Pictures
Brooklyn's Finest,Antoine Fuqua,"Richard Gere, Don Cheadle, Ethan Hawke, Wesley Snipes",Crime drama,Overture Films
Brutal Beauty: Tales of the Rose City Rollers,Chip Mabry,"Grace Lightning, Marollin? Monroe, Madame Bumpsalot",Documentary,Cinema Purgatorio
Buried,Rodrigo Cortés,Ryan Reynolds,Thriller,Lionsgate
Burlesque,Steve Antin,"Cher, Christina Aguilera, Stanley Tucci, Eric Dane, Kristen Bell, Cam Gigandet, Alan Cumming,Julianne Hough, Peter Gallagher",Musical,Screen Gems
Case 39,Christian Alvart,"Renée Zellweger, Jodelle Ferland, Ian McShane, Bradley Cooper","Horror, Mystery","Paramount Pictures,Paramount Vantage"
Casino Jack,George Hickenlooper,"Kevin Spacey, Barry Pepper, Kelly Preston, Jon Lovitz, Rachelle Lefevre, Daniel Kash, Graham Greene, Maury Chaykin","Political drama, Thriller",ATO Pictures
Casino Jack and the United States of Money,Alex Gibney,Washington D. C. lobbyist Jack Abramoff's corruption scandal.,Documentary,Magnolia Pictures
Cats & Dogs: The Revenge of Kitty Galore,Brad Peyton,"Christina Applegate, Michael Clarke Duncan, Neil Patrick Harris, Sean Hayes, James Marsden,Bette Midler, Nick Nolte, Joe Pantoliano, Katt Williams, Chris O' Donnell, Jack McBrayer, Fred Armisen, Paul Rodriguez, Alec Baldwin, Roger Moore","Family, Live-action/animated film","Warner Bros. Pictures,Village Roadshow Pictures"
,,,,Preceded by Cats & Dogs (2000)
Charlie St. Cloud,Burr Steers,"Zac Efron, Amanda Crew, Donal Logue, Charlie Tahan, Ray Liotta, Kim Basinger, Chris Massoglia",Romantic fantasy,Universal Pictures
,,,,Based on The Death and Life of Charlie St. Cloudby Ben Sherwood
The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,"Georgie Henley, Skandar Keynes, Ben Barnes, Liam Neeson, Will Poulter, Simon Pegg","Family, Fantasy",20th Century Fox
,,,,Preceded by The Chronicles of Narnia: Prince Caspian (2008)
City Island,Raymond De Felitta,"Andy García, Julianna Margulies, Steven Strait, Alan Arkin, Emily Mortimer",Comedy-drama,Anchor Bay Films
Clash of the Titans,Louis Leterrier,"Sam Worthington, Gemma Arterton, Mads Mikkelsen, Alexa Davalos, Jason Flemyng, Nicholas Hoult, Danny Huston, Izabella Miko, Pete Postlethwaite, Polly Walker, Ralph Fiennes, Liam Neeson","Action-adventure, Fantasy","Warner Bros. Pictures,Legendary Pictures"
,,,,Based on the 1981 film of the same name
Client 9: The Rise and Fall of Eliot Spitzer,Alex Gibney,The life and career of former New York Governor Eliot Spitzer.,Documentary,Magnolia Pictures
The Company Men,John Wells,"Ben Affleck, Chris Cooper, Kevin Costner, Tommy Lee Jones, Maria Bello, Rosemarie DeWitt,Craig T. Nelson",Drama,The Weinstein Company
Conviction,Tony Goldwyn,"Hilary Swank, Sam Rockwell, Minnie Driver, Melissa Leo, Peter Gallagher, Juliette Lewis","Bio-pic, Drama",Fox Searchlight Pictures
Cop Out,Kevin Smith,"Bruce Willis, Tracy Morgan, Adam Brody, Kevin Pollak, Guillermo Diaz, Seann William Scott","Buddy cop, Comedy",Warner Bros. Pictures
Countdown to Zero,Lucy Walker,The discussion on the escalating nuclear arms race. Narrated by Gary Oldman,Documentary,Magnolia Pictures
Country Strong,Shana Feste,"Gwyneth Paltrow, Tim McGraw, Garrett Hedlund, Leighton Meester","Dramedy, Musical",Screen Gems
The Crazies,Breck Eisner,"Timothy Olyphant, Radha Mitchell, Joe Anderson, Danielle Panabaker",Horror,Overture Films. Based on the 1973 film of the same name
Crazy on the Outside,Tim Allen,"Tim Allen, Sigourney Weaver, Jeanne Tripplehorn, J. K. Simmons, Julie Bowen, Kelsey Grammer, Ray Liotta",Comedy-drama,Freestyle Releasing
Cyrus,Jay and Mark Duplass,"John C. Reilly, Jonah Hill, Marisa Tomei, Catherine Keener",Comedy,Fox Searchlight Pictures
Date Night,Shawn Levy,"Steve Carell, Tina Fey",Action comedy,20th Century Fox
Daybreakers,Michael and Peter Spierig,"Ethan Hawke, Willem Dafoe, Isabel Lucas, Sam Neill",Horror,Lionsgate
Dear John,Lasse Hallström,"Channing Tatum, Amanda Seyfried, Henry Thomas, Scott Porter, Richard Jenkins",Romantic drama,"Screen Gems, Relativity Media"
,,,,Based on the novel byNicholas Sparks
Death at a Funeral,Neil LaBute,"Loretta Devine, Peter Dinklage, Danny Glover, Regina Hall, Martin Lawrence, James Marsden,Tracy Morgan, Chris Rock, Zoe Saldana, Columbus Short, Luke Wilson",Black comedy,Screen Gems
,,,,Based on the 2007 British film
Despicable Me,"Pierre Coffin, Chris Renaud","Steve Carell, Miranda Cosgrove, Jason Segel, Russell Brand, Kristen Wiig, Will Arnett, Ken Jeong, Danny McBride, Julie Andrews","Animated, Family","Universal Pictures,Illumination Entertainment"
Devil,John Erick Dowdle,"Chris Messina, Logan Marshall-Green, Geoffrey Arend, Caroline Dhavernas, Jacob Vargas,Jenny O'Hara, Bojana Novakovic, Joshua Peace, Bokeem Woodbine","Horror, Thriller",Universal Pictures
Diary of a Wimpy Kid,Thor Freudenthal,"Zachary Gordon, Robert Capron, Rachel Harris, Steve Zahn, Devon Bostick, Chloë Grace Moretz","Comedy, Family",20th Century Fox
,,,,Based on the book byJeff Kinney
Dinner for Schmucks,Jay Roach,"Steve Carell, Paul Rudd, Jemaine Clement, Jeff Dunham, Zach Galifianakis, Bruce Greenwood,Ron Livingston, Rick Overton, Lucy Punch, Andrea Savage, David Walliams",Comedy,"Paramount Pictures,DreamWorks Pictures,Spyglass Entertainment"
,,,,Based on Le Dîner de Cons
Due Date,Todd Phillips,"Robert Downey, Jr., Zach Galifianakis, Michelle Monaghan, Juliette Lewis, Jamie Foxx, RZA, Alan Arkin, Matt Walsh, Danny McBride","Comedy, Road",Warner Bros. Pictures
Easy A,Will Gluck,"Emma Stone, Penn Badgley, Amanda Bynes, Thomas Haden Church, Patricia Clarkson, Cam Gigandet, Lisa Kudrow, Malcolm McDowell, Aly Michalka","Comedy, Teen",Screen Gems
Eat Pray Love,Ryan Murphy,"Julia Roberts, James Franco, Richard Jenkins, Viola Davis, Billy Crudup and Javier Bardem",Comedy-drama,Columbia Pictures
,,,,Based on the memoir of the same name byElizabeth Gilbert
The Twilight Saga: Eclipse,David Slade,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Ashley Greene, Peter Facinelli, Elizabeth Reaser, Kellan Lutz, Nikki Reed, Catalina Sandino Moreno, Jackson Rathbone, Bryce Dallas Howard, Billy Burke, Jodelle Ferland, Dakota Fanning, Xavier Samuel, Julia Jones, Jack Huston",Fantasy romance,Summit Entertainment
,,,,Based on Eclipse byStephenie Meyer
,,,,Preceded by New Moon(2009)
Edge of Darkness,Martin Campbell,"Mel Gibson, Ray Winstone, Danny Huston, Bojana Novakovic, Shawn Roberts, Gbenga Akinnagbe",Action drama,Based on the television series of the same name
The Expendables,Sylvester Stallone,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren, Eric Roberts, Randy Couture, Steve Austin, David Zayas, Gisele Itié, Charisma Carpenter, Gary Daniels, Terry Crews, Mickey Rourke, Bruce Willis, Arnold Schwarzenegger",Action,Lionsgate
The Extra Man,Shari Springer Berman and Robert Pulcini,"Kevin Kline, Paul Dano, Katie Holmes, John C. Reilly",Comedy,Magnolia Pictures. Based on the novel by Jonathan Ames
Extraordinary Measures,Tom Vaughan,"Brendan Fraser, Harrison Ford, Keri Russell",Drama,CBS Films
Fair Game,Doug Liman,"Naomi Watts, Sean Penn","Bio-pic, Spy thriller",Summit Entertainment
,,,,"Based on The Politics of Truth by Joseph Wilsonand Fair Game: My Life as a Spy, My Betrayal by the White House byValerie Plame"
Faster,"George Tillman, Jr.","Dwayne Johnson, Billy Bob Thornton, Carla Gugino, Maggie Grace, Oliver Jackson-Cohen,Moon Bloodgood",Action drama,CBS Films
The Fighter,David O. Russell,"Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo","Drama, Sports","Paramount Pictures,Relativity Media"
Flipped,Rob Reiner,"Madeline Carroll, Rebecca De Mornay, Anthony Edwards, John Mahoney, Callan McAuliffe,Penelope Ann Miller, Aidan Quinn, Kevin Weisman","Family, Romantic comedy",Warner Bros. Pictures
,,,,Based on the novel of the same name by Wendelin Van Draanen
For Colored Girls,Tyler Perry,"Janet Jackson, Thandie Newton, Whoopi Goldberg, Phylicia Rashad, Anika Noni Rose, Loretta Devine, Kimberly Elise, Kerry Washington",Drama,Lionsgate
,,,,Based on the stage playFor Colored Girls Who Have Considered Suicide When the Rainbow Is Enuf by Ntozake Shange
Freakonomics,"Heidi Ewing, Rachel Grady, Alex Gibney,Seth Gordon, Eugene Jarecki, Morgan Spurlock",A group of rogue filmmakers explore the hidden side of everything.,Documentary,Magnolia Pictures. Based on the book by Steven Levitt and Stephen Dunbar
From Paris with Love,Pierre Morel,"John Travolta, Jonathan Rhys Meyers",Action,Lionsgate
Frozen,Adam Green,"Kevin Zegers, Shawn Ashmore, Emma Bell",Horror,Anchor Bay Films
Furry Vengeance,Roger Kumble,"Brendan Fraser, Brooke Shields, Dick Van Dyke, Ken Jeong, Rob Riggle, Angela Kinsey, Matt Prokop","Comedy, Family",Summit Entertainment
Game of Death,Giorgio Serafini,"Wesley Snipes, Zoë Bell, Gary Daniels, Robert Davi, Ernie Hudson, Jaime Moyer, Frank Zieger",Action,"Stage 6 Films, Sony Pictures Home Entertainment"
Get Him to the Greek,Nicholas Stoller,"Jonah Hill, Russell Brand, Elisabeth Moss, Rose Byrne, Colm Meaney, Sean Combs",Comedy,"Universal Pictures,Relativity Media,Spyglass Entertainment"
Get Low,Aaron Schneider,"Robert Duvall, Bill Murray, Sissy Spacek, Lucas Black",Drama,Sony Pictures Classics
Going the Distance,Nanette Burstein,"Drew Barrymore, Charlie Day, Jason Sudeikis, Ron Livingston, Rob Riggle, Christina Applegate,Kelli Garner, Natalie Morales, June Diane Raphael, Kristen Schaal, Jim Gaffigan, Sarah Burns",Romantic comedy,New Line Cinema
The Good Guy,Julio DePietro,"Scott Porter, Alexis Bledel, Bryan Greenberg, Aaron Yoo, Anna Chlumsky, Kate Nauta, Andrew McCarthy","Drama, Romantic comedy",Roadside Attractions
The Greatest,Shana Feste,"Pierce Brosnan, Susan Sarandon, Carey Mulligan, Johnny Simmons, Aaron Johnson, Zoe Kravitz, Michael Shannon",Drama,Barbarian Film Group
Green Zone,Paul Greengrass,"Matt Damon, Greg Kinnear, Brendan Gleeson, Amy Ryan, Khalid Abdalla, Jason Isaacs","Action, Spy film",Universal Pictures
,,,,Based on Imperial Life in the Emerald City by Rajiv Chandrasekaran
Greenberg,Noah Baumbach,"Ben Stiller, Greta Gerwig, Rhys Ifans, Jennifer Jason Leigh, Mark Duplass, Chris Messina, Brie Larson, Juno Temple",Comedy,Focus Features
Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, Rob Schneider, David Spade",Comedy,Columbia Pictures
Gulliver's Travels,Rob Letterman,"Jack Black, Emily Blunt, Jason Segel, Catherine Tate, James Corden, Amanda Peet, Chris O'Dowd, Billy Connelly","Comedy, Family",20th Century Fox
,,,,Based on the 18th-century novel of thesame name by Jonathan Swift
Happy Tears,Mitchell Lichtenstein,"Parker Posey, Demi Moore, Rip Torn and Ellen Barkin",Dramedy,Roadside Attractions
Hachiko: A Dog's Story,Lasse Hallström,Richard Gere,Drama,Remake of the 1987 Japanese film Hachiko Monogatari
Harry Potter and the Deathly Hallows: Part 1,David Yates,"Daniel Radcliffe, Rupert Grint, Emma Watson, Helena Bonham Carter, Robbie Coltrane,Warwick Davis, Ralph Fiennes, Michael Gambon, Brendan Gleeson, Richard Griffiths, John Hurt, Jason Isaacs, Alan Rickman, Fiona Shaw, Timothy Spall, Imelda Staunton, David Thewlis,Julie Walters","Action-adventure, Fantasy",Warner Bros. Pictures
,,,,Preceded by Harry Potter and the Half-Blood Prince(2009)
Hereafter,Clint Eastwood,"Matt Damon, Cécile de France, Bryce Dallas Howard, Lyndsey Marshal, Jay Mohr, Thierry Neuvic, Jenifer Lewis",Drama,Warner Bros. Pictures
